File path,Package,Method,CSEC
.\main\java\org\jfree\chart\encoders\SunPNGEncoderAdapter.java, org.jfree.chart.encoders, SunPNGEncoderAdapter, 6
.\main\java\org\jfree\chart\entity\AxisEntity.java, org.jfree.chart.entity, AxisEntity, 17
.\main\java\org\jfree\chart\entity\CategoryItemEntity.java, org.jfree.chart.entity, CategoryItemEntity, 27
.\main\java\org\jfree\chart\entity\CategoryLabelEntity.java, org.jfree.chart.entity, CategoryLabelEntity, 18
.\main\java\org\jfree\chart\entity\ChartEntity.java, org.jfree.chart.entity, ChartEntity, 68
.\main\java\org\jfree\chart\entity\EntityCollection.java, org.jfree.chart.entity, EntityCollection, 152
.\main\java\org\jfree\chart\entity\FlowEntity.java, org.jfree.chart.entity, FlowEntity, 30
.\main\java\org\jfree\chart\entity\JFreeChartEntity.java, org.jfree.chart.entity, JFreeChartEntity, 17
.\main\java\org\jfree\chart\entity\LegendItemEntity.java, org.jfree.chart.entity, LegendItemEntity, 18
.\main\java\org\jfree\chart\entity\NodeEntity.java, org.jfree.chart.entity, NodeEntity, 11
.\main\java\org\jfree\chart\entity\package-info.java, org.jfree.chart.entity, package-info, 0
.\main\java\org\jfree\chart\entity\PieSectionEntity.java, org.jfree.chart.entity, PieSectionEntity, 33
.\main\java\org\jfree\chart\entity\PlotEntity.java, org.jfree.chart.entity, PlotEntity, 17
.\main\java\org\jfree\chart\entity\StandardEntityCollection.java, org.jfree.chart.entity, StandardEntityCollection, 48
.\main\java\org\jfree\chart\entity\TickLabelEntity.java, org.jfree.chart.entity, TickLabelEntity, 12
.\main\java\org\jfree\chart\entity\TitleEntity.java, org.jfree.chart.entity, TitleEntity, 19
.\main\java\org\jfree\chart\entity\XYAnnotationEntity.java, org.jfree.chart.entity, XYAnnotationEntity, 4
.\main\java\org\jfree\chart\entity\XYItemEntity.java, org.jfree.chart.entity, XYItemEntity, 33
.\main\java\org\jfree\chart\event\AnnotationChangeEvent.java, org.jfree.chart.event, AnnotationChangeEvent, 29
.\main\java\org\jfree\chart\event\AnnotationChangeListener.java, org.jfree.chart.event, AnnotationChangeListener, 20
.\main\java\org\jfree\chart\event\AxisChangeEvent.java, org.jfree.chart.event, AxisChangeEvent, 37
.\main\java\org\jfree\chart\event\AxisChangeListener.java, org.jfree.chart.event, AxisChangeListener, 14
.\main\java\org\jfree\chart\event\ChartChangeEvent.java, org.jfree.chart.event, ChartChangeEvent, 81
.\main\java\org\jfree\chart\event\ChartChangeEventType.java, org.jfree.chart.event, ChartChangeEventType, 11
.\main\java\org\jfree\chart\event\ChartChangeListener.java, org.jfree.chart.event, ChartChangeListener, 50
.\main\java\org\jfree\chart\event\ChartProgressEvent.java, org.jfree.chart.event, ChartProgressEvent, 19
.\main\java\org\jfree\chart\event\ChartProgressEventType.java, org.jfree.chart.event, ChartProgressEventType, 7
.\main\java\org\jfree\chart\event\ChartProgressListener.java, org.jfree.chart.event, ChartProgressListener, 10
.\main\java\org\jfree\chart\event\MarkerChangeEvent.java, org.jfree.chart.event, MarkerChangeEvent, 43
.\main\java\org\jfree\chart\event\MarkerChangeListener.java, org.jfree.chart.event, MarkerChangeListener, 37
.\main\java\org\jfree\chart\event\package-info.java, org.jfree.chart.event, package-info, 0
.\main\java\org\jfree\chart\event\PlotChangeEvent.java, org.jfree.chart.event, PlotChangeEvent, 57
.\main\java\org\jfree\chart\event\PlotChangeListener.java, org.jfree.chart.event, PlotChangeListener, 26
