File path,Total lines
CustomXYItemLabelGeneratorTest.java,87
HighLowItemLabelGeneratorTest.java,109
IntervalCategoryItemLabelGeneratorTest.java,117
IntervalCategoryToolTipGeneratorTest.java,131
ItemLabelAnchorTest.java,61
ItemLabelPositionTest.java,67
MultipleXYSeriesLabelGeneratorTest.java,113
StandardCategoryItemLabelGeneratorTest.java,157
StandardCategorySeriesLabelGeneratorTest.java,121
StandardCategoryToolTipGeneratorTest.java,136
StandardFlowLabelGeneratorTest.java,64
StandardPieSectionLabelGeneratorTest.java,137
StandardPieToolTipGeneratorTest.java,128
StandardXYItemLabelGeneratorTest.java,160
StandardXYSeriesLabelGeneratorTest.java,120
StandardXYToolTipGeneratorTest.java,137
StandardXYZToolTipGeneratorTest.java,154
SymbolicXYItemLabelGeneratorTest.java,96
LegendGraphicTest.java,196
LegendTitleTest.java,135
PaintScaleLegendTest.java,154
CategoryMarkerTest.java,174
CategoryPlotTest.java,1118
CombinedDomainCategoryPlotTest.java,242
CombinedDomainXYPlotTest.java,249
CombinedRangeCategoryPlotTest.java,241
CombinedRangeXYPlotTest.java,241
CrosshairTest.java,164
DefaultDrawingSupplierTest.java,169
FastScatterPlotTest.java,200
IntervalMarkerTest.java,131
MarkerTest.java,366
MeterIntervalTest.java,90
MeterPlotTest.java,217
MyPlotChangeListener.java,79
PlotOrientationTest.java,67
PlotRenderingInfoTest.java,104
PlotTest.java,150
PolarPlotTest.java,315
RingPlotTest.java,140
SpiderWebPlotTest.java,295
ThermometerPlotTest.java,171
ValueMarkerTest.java,201
XYPlotTest.java,1252
ArrowNeedleTest.java,79
CompassPlotTest.java,121
LineNeedleTest.java,75
LongNeedleTest.java,75
MeterNeedleTest.java,85
MiddlePinNeedleTest.java,75
PinNeedleTest.java,75
PlumNeedleTest.java,75
PointerNeedleTest.java,75
ShipNeedleTest.java,75
WindNeedleTest.java,75
AbstractDialLayerTest.java,91
ArcDialFrameTest.java,138
DialBackgroundTest.java,134
DialCapTest.java,144
DialPlotTest.java,248
DialPointerTest.java,148
DialTextAnnotationTest.java,133
DialValueIndicatorTest.java,176
MyDialLayerChangeListener.java,58
StandardDialFrameTest.java,123
StandardDialRangeTest.java,115
StandardDialScaleTest.java,231
FlowPlotTest.java,242
MultiplePiePlotTest.java,173
PieLabelRecordTest.java,105
PiePlotTest.java,597
AbstractRendererTest.java,690
AreaRendererEndTypeTest.java,65
DefaultPolarItemRendererTest.java,94
GrayPaintScaleTest.java,119
LookupPaintScaleTest.java,166
OutlierTest.java,98
RendererChangeDetector.java,83
RendererUtilsTest.java,341
AbstractCategoryItemRendererTest.java,295
AreaRendererTest.java,138
BarRendererTest.java,264
BoxAndWhiskerRendererTest.java,494
CategoryStepRendererTest.java,119
DefaultCategoryItemRendererTest.java,97
GanttRendererTest.java,120
GradientBarPainterTest.java,97
GroupedStackedBarRendererTest.java,158
IntervalBarRendererTest.java,154
LayeredBarRendererTest.java,136
LevelRendererTest.java,181
LineAndShapeRendererTest.java,250
MinMaxCategoryRendererTest.java,142
ScatterRendererTest.java,183
StackedAreaRendererTest.java,124
StackedBarRendererTest.java,125
StandardBarPainterTest.java,87
StatisticalBarRendererTest.java,258
StatisticalLineAndShapeRendererTest.java,176
WaterfallBarRendererTest.java,172
AbstractXYItemRendererTest.java,159
CandlestickRendererTest.java,195
ClusteredXYBarRendererTest.java,153
DeviationRendererTest.java,100
DeviationStepRendererTest.java,100
GradientXYBarPainterTest.java,97
HighLowRendererTest.java,157
RendererXYPackageUtils.java,81
StackedXYAreaRenderer2Test.java,158
StackedXYAreaRendererTest.java,201
StackedXYBarRendererTest.java,154
StandardXYBarPainterTest.java,87
StandardXYItemRendererTest.java,224
VectorRendererTest.java,102
WindItemRendererTest.java,94
XYAreaRenderer2Test.java,179
XYAreaRendererTest.java,216
XYBarRendererTest.java,321
XYBlockRendererTest.java,186
XYBoxAndWhiskerRendererTest.java,150
XYBubbleRendererTest.java,147
XYDifferenceRendererTest.java,180
XYDotRendererTest.java,153
XYErrorRendererTest.java,167
XYLineAndShapeRendererTest.java,262
XYShapeRendererTest.java,159
XYSplineRendererTest.java,119
XYStepAreaRendererTest.java,157
XYStepRendererTest.java,174
YIntervalRendererTest.java,212
ChartPanelTest.java,330
CrosshairOverlayTest.java,87
HMSNumberFormatTest.java,53
LogFormatTest.java,103
RelativeDateFormatTest.java,191
CompositeTitleTest.java,140
DateTitleTest.java,105
ImageTitleTest.java,119
ShortTextTitleTest.java,90
TextTitleTest.java,137
TitleTest.java,84
CustomCategoryURLGeneratorTest.java,143
CustomPieURLGeneratorTest.java,103
CustomXYURLGeneratorTest.java,143
StandardCategoryURLGeneratorTest.java,106
StandardPieURLGeneratorTest.java,110
StandardXYURLGeneratorTest.java,64
TimeSeriesURLGeneratorTest.java,116
ComparableObjectItemTest.java,117
ComparableObjectSeriesTest.java,184
DatasetChangeConfirmation.java,48
DataUtilsTest.java,213
