File path,Total non-comment lines
PlumNeedleTest.java,28
PointerNeedleTest.java,28
ShipNeedleTest.java,28
WindNeedleTest.java,28
AbstractDialLayerTest.java,39
ArcDialFrameTest.java,79
DialBackgroundTest.java,75
DialCapTest.java,84
DialPlotTest.java,172
DialPointerTest.java,85
DialTextAnnotationTest.java,73
DialValueIndicatorTest.java,109
MyDialLayerChangeListener.java,8
StandardDialFrameTest.java,67
StandardDialRangeTest.java,60
StandardDialScaleTest.java,155
FlowPlotTest.java,180
MultiplePiePlotTest.java,110
PieLabelRecordTest.java,58
PiePlotTest.java,467
AbstractRendererTest.java,552
AreaRendererEndTypeTest.java,21
DefaultPolarItemRendererTest.java,44
GrayPaintScaleTest.java,64
LookupPaintScaleTest.java,108
OutlierTest.java,44
RendererChangeDetector.java,19
RendererUtilsTest.java,233
AbstractCategoryItemRendererTest.java,209
AreaRendererTest.java,80
BarRendererTest.java,183
BoxAndWhiskerRendererTest.java,387
CategoryStepRendererTest.java,62
DefaultCategoryItemRendererTest.java,44
GanttRendererTest.java,67
GradientBarPainterTest.java,46
GroupedStackedBarRendererTest.java,96
IntervalBarRendererTest.java,89
LayeredBarRendererTest.java,75
LevelRendererTest.java,107
LineAndShapeRendererTest.java,177
MinMaxCategoryRendererTest.java,82
ScatterRendererTest.java,115
StackedAreaRendererTest.java,67
StackedBarRendererTest.java,68
StandardBarPainterTest.java,36
StatisticalBarRendererTest.java,169
StatisticalLineAndShapeRendererTest.java,108
WaterfallBarRendererTest.java,72
AbstractXYItemRendererTest.java,95
CandlestickRendererTest.java,125
ClusteredXYBarRendererTest.java,90
DeviationRendererTest.java,46
DeviationStepRendererTest.java,46
GradientXYBarPainterTest.java,46
HighLowRendererTest.java,94
RendererXYPackageUtils.java,31
StackedXYAreaRenderer2Test.java,96
StackedXYAreaRendererTest.java,136
StackedXYBarRendererTest.java,93
StandardXYBarPainterTest.java,36
StandardXYItemRendererTest.java,160
VectorRendererTest.java,47
WindItemRendererTest.java,41
XYAreaRenderer2Test.java,115
XYAreaRendererTest.java,153
XYBarRendererTest.java,231
XYBlockRendererTest.java,114
XYBoxAndWhiskerRendererTest.java,92
XYBubbleRendererTest.java,90
XYDifferenceRendererTest.java,115
XYDotRendererTest.java,95
XYErrorRendererTest.java,97
XYLineAndShapeRendererTest.java,196
XYShapeRendererTest.java,103
XYSplineRendererTest.java,66
XYStepAreaRendererTest.java,97
XYStepRendererTest.java,110
YIntervalRendererTest.java,152
ChartPanelTest.java,216
CrosshairOverlayTest.java,40
HMSNumberFormatTest.java,15
LogFormatTest.java,53
RelativeDateFormatTest.java,127
CompositeTitleTest.java,83
DateTitleTest.java,55
ImageTitleTest.java,6
ShortTextTitleTest.java,40
TextTitleTest.java,81
TitleTest.java,39
CustomCategoryURLGeneratorTest.java,84
CustomPieURLGeneratorTest.java,51
CustomXYURLGeneratorTest.java,84
StandardCategoryURLGeneratorTest.java,55
StandardPieURLGeneratorTest.java,59
StandardXYURLGeneratorTest.java,19
TimeSeriesURLGeneratorTest.java,65
ComparableObjectItemTest.java,60
ComparableObjectSeriesTest.java,110
DatasetChangeConfirmation.java,10
DataUtilsTest.java,154
DefaultKeyedValues2DTest.java,210
DefaultKeyedValuesTest.java,308
DefaultKeyedValueTest.java,60
DomainOrderTest.java,36
KeyedObjects2DTest.java,263
KeyedObjectsTest.java,223
KeyedObjectTest.java,53
KeyToGroupMapTest.java,124
RangeTest.java,213
RangeTypeTest.java,36
CategoryToPieDatasetTest.java,118
DefaultCategoryDatasetTest.java,246
DefaultIntervalCategoryDatasetTest.java,304
SlidingCategoryDatasetTest.java,172
DefaultFlowDatasetTest.java,57
FlowKeyTest.java,35
NodeKeyTest.java,35
LineFunction2DTest.java,36
NormalDistributionFunction2DTest.java,42
PolynomialFunction2DTest.java,63
PowerFunction2DTest.java,35
SlidingGanttCategoryDatasetTest.java,108
TaskSeriesCollectionTest.java,430
TaskSeriesTest.java,57
TaskTest.java,60
XYTaskDatasetTest.java,72
DatasetUtilsTest.java,1045
DefaultHeatMapDatasetTest.java,108
DefaultKeyedValueDatasetTest.java,45
DefaultKeyedValues2DDatasetTest.java,28
DefaultKeyedValuesDatasetTest.java,28
DefaultPieDatasetTest.java,96
IntervalDataItem.java,20
TestIntervalCategoryDataset.java,193
TestIntervalXYZDataset.java,87
BoxAndWhiskerCalculatorTest.java,93
BoxAndWhiskerItemTest.java,24
DefaultBoxAndWhiskerCategoryDatasetTest.java,172
